,city,area,rooms,bathroom,parking spaces,floor,animal,furniture,hoa,rent_amount,property_tax,fire_insurance,total
75,1,38,1,1,1,14,not acept,furnished,"1,620","3,020",279,39,"4,958"
76,1,140,3,3,2,2,acept,not furnished,"1,300","2,800",292,36,"4,428"
77,0,62,2,1,1,3,acept,not furnished,485,980,48,13,"1,526"
78,1,70,1,1,0,2,acept,furnished,"1,500","4,000",284,51,"5,835"
79,0,55,1,1,0,14,acept,not furnished,600,"1,100",60,14,"1,774"
80,0,60,2,1,1,1,not acept,not furnished,430,815,20,6,"1,271"
81,1,85,2,2,1,6,acept,not furnished,"1,250","1,738",261,23,"3,272"
82,1,134,3,3,3,11,not acept,not furnished,"1,655","8,000",380,102,"10,140"
83,1,200,3,2,2,19,acept,not furnished,"2,573","10,000","1,121",127,"13,820"
84,1,170,3,2,2,-,acept,furnished,0,"3,900",267,59,"4,226"
85,1,46,1,1,2,16,acept,furnished,"2,210","6,220",255,79,"8,764"
86,1,20,1,1,0,4,acept,furnished,602,"1,800",130,23,"2,555"
87,1,58,2,2,1,5,not acept,furnished,"1,000","4,500",144,58,"5,702"
88,1,96,3,2,3,4,acept,not furnished,"1,024","2,350",313,30,"3,717"
89,1,190,3,3,3,6,acept,not furnished,"3,000","13,000",84,165,"16,250"
90,1,87,3,2,4,14,acept,not furnished,800,"2,000",67,26,"2,893"
91,1,42,1,1,0,5,acept,not furnished,350,"2,400",94,31,"2,875"
92,1,145,3,3,1,10,acept,furnished,"1,380","11,000",375,140,"12,900"
93,1,250,4,6,4,12,not acept,not furnished,"3,000","14,500",875,184,"18,560"
94,1,90,2,1,1,1,acept,not furnished,"1,000","3,000",50,39,"4,089"
95,1,250,6,2,2,-,acept,not furnished,0,"2,472",26,38,"2,536"
96,1,500,3,4,5,-,acept,furnished,0,"7,620","1,094",115,"8,829"
97,1,80,2,2,2,6,acept,furnished,"1,581","8,800",112,112,"10,610"
98,0,120,3,2,3,-,acept,not furnished,0,"2,500",180,38,"2,718"
99,0,265,3,3,2,-,acept,not furnished,0,"2,400",140,37,"2,577"
100,0,50,2,1,1,4,acept,not furnished,330,"1,080",0,14,"1,424"
101,0,126,3,3,2,1,acept,not furnished,780,"3,800",167,49,"4,796"
102,0,55,2,1,1,1,acept,not furnished,390,720,0,10,"1,120"
103,1,29,1,1,1,20,acept,furnished,700,"2,700",84,35,"3,519"
104,1,59,2,1,1,24,acept,not furnished,514,"2,450",138,32,"3,134"
105,1,200,2,4,4,4,acept,not furnished,"2,450","7,800","1,417",99,"11,770"
106,1,74,3,2,1,7,acept,not furnished,577,"2,196",100,28,"2,901"
107,1,290,4,5,2,6,acept,not furnished,"4,300","10,000",875,127,"15,300"
108,1,172,3,4,3,1,acept,not furnished,"1,596","8,000",820,102,"10,520"
109,1,25,1,1,0,5,not acept,furnished,270,"2,600",67,33,"2,970"
110,1,50,1,1,1,-,acept,not furnished,0,"1,100",0,17,"1,117"
111,1,40,1,1,0,3,acept,not furnished,300,"1,100",0,14,"1,414"
112,1,80,2,2,2,-,acept,not furnished,0,"2,465",0,38,"2,503"
113,1,280,6,6,3,-,acept,not furnished,0,"5,000","1,118",76,"6,194"
114,1,60,1,1,1,12,acept,furnished,850,"4,723",0,18,"5,591"
115,1,115,2,3,2,8,acept,not furnished,"1,380","12,000",790,153,"14,320"
116,1,540,3,3,4,9,acept,not furnished,"6,200","15,000","3,500",191,"24,890"
117,1,76,2,1,1,12,not acept,furnished,906,"4,250",217,54,"5,427"
118,0,150,4,5,2,1,acept,not furnished,"1,100","2,980",360,38,"4,478"
119,1,130,3,2,1,8,acept,not furnished,"2,400","5,500",209,70,"8,179"
120,0,64,2,1,1,-,acept,not furnished,441,730,18,10,"1,199"
121,1,55,2,2,1,2,acept,not furnished,420,"1,300",50,17,"1,787"
122,1,50,1,1,0,1,acept,not furnished,600,"1,300",0,17,"1,917"
123,1,120,2,3,2,20,acept,not furnished,"2,000","7,000",180,89,"9,269"
124,0,236,3,4,4,10,acept,not furnished,"1,600","11,000",440,140,"13,180"
125,0,30,1,1,0,4,acept,not furnished,336,550,10,7,903
126,0,270,3,3,0,-,acept,furnished,0,"8,000",500,121,"8,621"
127,0,48,1,1,0,9,acept,not furnished,350,670,21,9,"1,050"
128,0,198,6,3,4,-,acept,not furnished,0,"2,000",145,31,"2,176"
129,1,50,1,1,0,-,acept,not furnished,0,"1,080",59,17,"1,156"
130,1,185,3,3,3,20,acept,not furnished,"2,670","5,600",907,71,"9,248"
131,1,440,4,4,4,-,acept,not furnished,0,"12,000","2,500",181,"14,680"
132,0,119,3,2,2,7,acept,not furnished,"1,650","1,200",212,16,"3,078"
133,1,57,2,2,2,16,acept,not furnished,510,"1,690",11,22,"2,233"
134,1,65,2,1,1,1,acept,not furnished,100,"1,400",84,18,"1,602"
135,1,35,2,1,1,-,acept,not furnished,125,"2,100",0,32,"2,257"
136,0,51,1,2,1,16,not acept,not furnished,703,"2,100",150,27,"2,980"
137,0,70,2,3,1,7,acept,not furnished,"1,196","2,004",0,26,"3,226"
138,1,90,2,1,1,-,acept,not furnished,Incluso,"1,500",0,23,"1,523"
139,1,320,3,4,3,8,acept,not furnished,"3,400","6,800",1,87,"10,290"
140,1,250,7,5,2,-,acept,not furnished,0,"12,750","1,045",192,"13,990"
141,1,70,2,1,1,6,acept,not furnished,660,"3,800",45,49,"4,554"
142,1,169,4,6,3,7,acept,furnished,"2,560","10,000",734,127,"13,420"
143,1,33,1,1,0,1,not acept,not furnished,338,"1,100",63,14,"1,515"
144,1,225,4,4,3,7,acept,not furnished,"2,800","5,000","1,267",64,"9,131"
145,1,42,1,1,0,2,acept,furnished,0,"3,256",0,42,"3,298"
146,1,120,3,4,1,-,not acept,not furnished,0,"4,000",4,61,"4,065"
147,1,70,3,2,2,3,not acept,not furnished,750,"1,500",148,20,"2,418"
148,1,90,1,1,2,-,acept,furnished,0,"3,200",137,49,"3,386"
149,1,260,4,5,4,9,acept,furnished,"2,014","3,300","1,000",42,"6,356"
150,1,243,3,3,4,10,acept,not furnished,"2,678","5,500","1,950",70,"10,200"
151,1,100,1,1,0,-,acept,not furnished,0,"1,530",0,12,"1,542"
152,1,240,3,4,3,9,acept,not furnished,"3,211","5,100","1,102",65,"9,478"
153,0,45,1,1,1,4,acept,not furnished,700,870,46,12,"1,628"
154,1,65,1,1,1,2,acept,furnished,680,"5,000",14,64,"5,758"
155,1,47,1,1,0,4,not acept,not furnished,100,"1,000",76,13,"1,189"
156,1,60,2,1,0,2,acept,furnished,589,"3,300",65,42,"3,996"
157,1,340,4,6,6,-,acept,furnished,Sem info,"15,000",250,226,"15,480"
158,1,500,4,4,0,-,acept,not furnished,0,"6,000",467,91,"6,558"
159,1,55,2,1,1,14,acept,not furnished,420,"1,399",0,18,"1,837"
160,1,240,3,4,3,3,acept,furnished,"3,600","4,950","1,000",63,"9,613"
161,1,65,2,2,1,1,acept,not furnished,650,"2,315",0,7,"2,972"
162,1,68,1,1,0,-,not acept,not furnished,0,"1,213",0,6,"1,219"
163,1,500,4,4,3,-,acept,not furnished,Sem info,"10,800",988,163,"11,950"
164,1,198,2,2,2,13,acept,not furnished,"1,700","5,500",320,70,"7,590"
165,1,62,2,1,1,13,acept,not furnished,543,"2,200",59,28,"2,830"
166,1,60,2,2,1,4,acept,not furnished,632,"2,806",25,36,"3,499"
167,1,187,3,2,3,-,not acept,furnished,"1,700","8,400",584,127,"10,810"
168,1,25,1,1,0,23,acept,not furnished,432,"2,200",45,28,"2,705"
169,1,230,3,4,3,-,acept,not furnished,0,"3,600",409,55,"4,064"
170,1,17,1,1,0,1,not acept,furnished,300,"2,400",50,31,"2,781"
171,1,67,2,2,1,17,acept,not furnished,740,"2,200",170,28,"3,138"
172,1,20,1,1,0,1,acept,furnished,Incluso,"2,060",0,27,"2,087"
173,1,118,3,2,2,7,acept,furnished,"1,880","8,500",434,108,"10,920"
174,1,43,1,1,1,2,acept,not furnished,850,"2,430",172,31,"3,483"
175,1,195,2,3,1,10,acept,not furnished,"1,500","6,000",334,77,"7,911"
176,1,141,3,4,3,7,not acept,not furnished,"1,646","7,500",735,96,"9,977"
177,1,45,1,1,1,1,not acept,not furnished,550,"2,300",0,30,"2,880"
178,1,48,1,1,1,19,acept,not furnished,588,"1,525",0,6,"2,119"
179,1,280,3,4,2,3,not acept,not furnished,"4,000","6,000","1,059",77,"11,140"
180,1,170,3,2,2,5,not acept,not furnished,"2,199","5,000",423,64,"7,686"
181,1,90,3,2,1,-,acept,not furnished,0,"3,260",0,50,"3,310"
182,0,35,1,1,1,7,acept,not furnished,392,"1,100",13,14,"1,519"
183,1,16,1,1,0,8,not acept,not furnished,390,"2,300",100,30,"2,820"
184,0,68,1,1,1,10,not acept,furnished,600,"1,000",48,13,"1,661"
185,1,80,3,5,2,4,not acept,not furnished,"3,460","12,000","1,000",153,"16,610"
186,1,190,3,2,1,6,acept,furnished,"3,040","8,000",556,102,"11,700"
187,1,150,3,4,2,-,not acept,not furnished,0,"3,400",0,52,"3,452"
188,1,112,3,3,2,12,acept,furnished,"1,100","2,670",188,34,"3,992"
189,1,145,3,4,3,1,not acept,not furnished,"1,200","6,000",750,77,"8,027"
190,0,47,1,1,1,8,acept,not furnished,560,"1,100",46,14,"1,720"
191,1,128,3,2,1,3,acept,furnished,"1,094","4,529",242,58,"5,923"
192,1,250,3,4,4,-,acept,not furnished,0,"4,500",334,68,"4,902"
193,1,120,3,1,0,2,acept,not furnished,250,"1,460",0,21,"1,731"
194,1,110,2,2,2,-,not acept,not furnished,0,"2,700",300,41,"3,041"
195,1,400,2,5,4,-,acept,not furnished,0,"6,000",484,91,"6,575"
196,1,35,1,1,1,9,not acept,furnished,"1,050","2,600",317,33,"4,000"
197,1,107,2,2,2,18,acept,furnished,"1,800","12,800",417,163,"15,180"
198,1,97,2,2,0,1,acept,not furnished,"1,200","5,600",0,71,"6,871"
199,1,70,2,1,0,1,not acept,not furnished,350,"1,050",116,14,"1,530"
200,1,20,1,1,0,3,not acept,furnished,150,"3,142",67,40,"3,399"
201,1,130,3,2,2,6,acept,not furnished,"1,100","3,500",209,45,"4,854"
202,1,120,3,2,3,16,acept,not furnished,"1,400","2,000",292,26,"3,718"
203,1,110,3,3,2,2,acept,furnished,"1,000","3,800",192,49,"5,041"
204,1,300,3,5,3,-,acept,not furnished,0,"11,900",250,179,"12,330"
205,1,349,4,5,4,8,not acept,not furnished,"3,100","11,000",0,140,"14,240"
206,1,97,3,2,2,1,acept,not furnished,730,"3,000",303,39,"4,072"
207,1,84,4,1,3,5,not acept,not furnished,"1,914","6,000",804,77,"8,795"
208,1,180,2,2,1,-,not acept,not furnished,0,"2,800",105,43,"2,948"
209,1,286,4,4,5,-,acept,not furnished,0,"10,000","1,000",151,"11,150"
210,1,500,5,7,5,22,acept,not furnished,"5,500","14,000","2,084",178,"21,760"
211,1,110,3,3,3,4,acept,not furnished,"1,195","2,350",670,30,"4,245"
212,1,196,4,4,0,11,acept,not furnished,"2,450","6,000","1,458",77,"9,985"
213,1,33,1,1,1,12,not acept,not furnished,552,"4,150",95,53,"4,850"
214,1,400,4,4,3,-,acept,not furnished,Sem info,"9,000",542,136,"9,678"
215,1,170,2,1,0,1,acept,furnished,0,"2,481",0,26,"2,507"
216,1,90,1,1,0,-,acept,not furnished,0,"2,200",109,34,"2,343"
217,1,184,3,4,3,12,acept,not furnished,"2,700","1,400",692,18,"4,810"
218,1,117,2,2,1,11,not acept,furnished,630,"7,130",150,91,"8,001"
219,1,11,1,1,0,-,not acept,furnished,0,"1,181",0,15,"1,196"
220,0,57,1,1,1,2,acept,not furnished,605,800,66,11,"1,482"
221,1,16,1,1,0,1,not acept,not furnished,0,850,30,11,891
222,1,180,4,3,1,4,acept,furnished,"1,572","5,000",240,64,"6,876"
223,1,250,3,4,2,16,acept,not furnished,"3,300","6,000",517,77,"9,894"
224,1,220,3,4,2,-,acept,furnished,0,"7,000",434,106,"7,540"
225,1,360,3,5,4,22,acept,not furnished,"2,398","3,135","1,467",40,"7,040"
226,1,122,3,4,3,5,acept,not furnished,Incluso,"4,500",0,58,"4,558"
227,1,138,3,4,3,2,not acept,not furnished,790,"7,000",690,89,"8,569"
228,1,110,3,1,1,1,acept,not furnished,"1,235","1,400",0,18,"2,653"
229,1,220,4,3,3,3,acept,not furnished,"1,600","3,400",0,44,"5,044"
230,1,118,3,2,1,11,not acept,not furnished,"1,116","4,775",185,61,"6,137"
231,1,180,2,2,1,15,acept,not furnished,"1,800","5,350",0,68,"7,218"
232,1,52,2,1,1,7,acept,not furnished,540,"1,300",63,17,"1,920"
233,1,30,1,1,0,1,acept,furnished,0,"1,550",21,20,"1,591"
234,1,160,3,3,2,5,acept,furnished,"1,650","1,500",419,20,"3,589"
235,0,209,3,3,2,-,not acept,not furnished,593,"2,550",237,39,"3,419"
236,1,450,5,5,6,-,acept,not furnished,0,"9,500","1,345",143,"10,990"
237,1,117,3,3,3,10,acept,not furnished,"2,280","2,300",700,30,"5,310"
238,1,900,4,6,8,-,acept,not furnished,0,"15,000","4,417",226,"19,640"
239,1,200,3,3,0,-,acept,not furnished,Sem info,"4,500",71,68,"4,639"
240,1,128,3,3,2,10,acept,not furnished,"2,600","3,800",605,49,"7,054"
241,1,140,3,2,2,2,acept,not furnished,"1,480","3,700",167,47,"5,394"
242,1,180,3,3,4,27,acept,not furnished,"2,000","7,000",859,89,"9,948"
243,1,280,4,4,5,9,acept,not furnished,"3,000","3,200",875,41,"7,116"
244,1,420,4,6,4,8,acept,not furnished,"3,500","15,000","2,250",191,"20,940"
245,1,48,1,1,1,8,acept,furnished,740,"2,700",137,35,"3,612"
246,1,148,3,2,2,2,not acept,furnished,"2,830","9,000",267,115,"12,210"
247,1,75,2,1,1,5,not acept,not furnished,748,"2,000",0,26,"2,774"
248,1,44,1,1,0,1,not acept,not furnished,417,"3,016",0,12,"3,445"
249,1,35,1,1,0,-,acept,not furnished,0,"1,100",30,14,"1,144"
250,1,320,4,2,2,-,acept,furnished,0,"8,000",642,121,"8,763"
251,0,98,3,2,1,1,acept,not furnished,727,"1,233",84,16,"2,060"
252,0,51,1,1,0,12,not acept,furnished,707,"1,300",45,17,"2,069"
253,1,322,4,5,5,17,acept,furnished,"2,700","15,000","1,875",191,"19,770"
254,1,187,4,5,3,5,acept,not furnished,"3,912","5,300","1,424",68,"10,700"
255,1,62,3,2,1,6,not acept,furnished,"1,550","4,800",167,61,"6,578"
256,1,130,2,2,1,-,acept,not furnished,"1,100","4,300",100,55,"5,555"
257,0,600,4,6,3,-,acept,not furnished,"1,123","5,500",819,83,"7,525"
258,1,520,3,4,2,-,acept,not furnished,0,"9,000","1,500",136,"10,640"
259,1,86,1,2,1,13,acept,furnished,"1,800","6,500",375,83,"8,758"
260,1,72,2,2,1,6,acept,not furnished,"1,100","5,431",334,69,"6,934"
261,1,550,4,4,4,-,acept,not furnished,0,"14,000","1,334",211,"15,550"
262,1,50,1,1,0,-,not acept,not furnished,0,"1,220",0,19,"1,239"
263,1,298,5,3,3,-,acept,not furnished,0,"8,000","1,384",121,"9,505"
264,0,74,3,2,1,10,acept,not furnished,700,"1,800",120,23,"2,643"
265,1,41,1,1,0,17,acept,furnished,450,"2,470",0,32,"2,952"
266,0,80,3,2,2,2,acept,not furnished,750,"1,450",110,19,"2,329"
267,1,130,3,2,1,1,acept,not furnished,"1,200","4,500",100,58,"5,858"
268,1,64,1,2,2,15,acept,not furnished,691,"2,100",92,27,"2,910"
269,1,50,1,1,1,9,not acept,not furnished,"1,170","2,730",9,35,"3,944"
270,1,200,3,2,4,-,acept,not furnished,0,"3,500",0,53,"3,553"
271,1,70,1,1,2,9,acept,furnished,"2,150","7,000",542,89,"9,781"
272,0,41,1,1,1,11,acept,not furnished,390,"1,950",65,14,"2,419"
273,1,89,2,2,0,2,acept,not furnished,"1,000","1,900",0,25,"2,925"
274,1,250,4,2,8,-,acept,not furnished,0,"13,040",500,197,"13,740"
275,1,105,2,1,0,-,acept,not furnished,0,"1,800",125,28,"1,953"
276,1,150,2,2,1,-,acept,not furnished,1,"2,100",0,32,"2,133"
277,1,50,2,1,1,14,not acept,not furnished,450,"1,950",0,25,"2,425"
278,1,180,3,2,1,-,acept,not furnished,Sem info,"5,400",459,82,"5,941"
279,1,50,1,1,0,-,not acept,not furnished,0,"1,000",0,16,"1,016"
280,0,70,1,1,2,-,acept,not furnished,0,"1,450",5,22,"1,477"
281,1,177,2,2,2,-,acept,not furnished,0,"6,000",342,91,"6,433"
282,1,177,4,5,4,12,acept,not furnished,"1,500","9,200",959,117,"11,780"
283,1,18,1,1,0,-,acept,not furnished,0,"1,710",0,22,"1,732"
284,1,200,3,4,2,-,acept,not furnished,0,"2,900","1,100",44,"4,044"
285,1,45,1,1,1,1,not acept,furnished,"3,000","5,520",0,70,"8,590"
286,0,70,2,1,1,3,acept,not furnished,220,750,43,10,"1,023"
287,1,66,3,2,1,9,acept,not furnished,708,"2,179",13,28,"2,928"
288,1,48,2,1,0,2,acept,not furnished,90,"1,150",90,15,"1,345"
289,1,515,5,4,3,5,acept,not furnished,"5,600","15,000",250,191,"21,040"
290,1,55,2,2,1,7,acept,not furnished,650,"2,000",0,26,"2,676"
291,1,350,4,5,2,-,acept,not furnished,0,"5,000",325,76,"5,401"
292,1,260,3,3,3,8,acept,furnished,"2,210","5,000",842,64,"8,116"
293,1,78,2,1,1,7,acept,not furnished,645,"2,000",35,26,"2,706"
294,1,35,1,1,0,6,acept,furnished,420,"1,780",0,23,"2,223"
295,1,106,2,1,2,-,not acept,not furnished,0,"2,100",110,32,"2,242"
296,1,500,3,3,5,-,acept,furnished,0,"15,000","1,125",226,"16,350"
297,1,38,1,1,0,-,not acept,not furnished,Sem info,"1,650",0,25,"1,675"
298,1,153,2,2,1,15,acept,furnished,"1,500","11,900",350,151,"13,900"
299,1,64,2,2,2,5,acept,not furnished,830,"1,600",205,21,"2,656"
300,1,260,3,4,4,-,acept,not furnished,0,"4,500",0,68,"4,568"
301,0,50,1,1,1,11,acept,not furnished,"1,500",500,105,7,"2,112"
302,1,170,3,2,1,14,acept,furnished,"1,700","4,500",85,58,"6,343"
303,1,120,2,2,2,15,acept,furnished,"1,043","4,880",264,62,"6,249"
304,1,700,4,5,2,10,acept,furnished,"3,000","8,000",402,102,"11,500"
305,1,270,5,7,2,-,acept,not furnished,0,"3,978",89,60,"4,127"
306,1,40,1,1,0,6,acept,not furnished,890,"3,463",0,32,"4,385"
307,1,640,4,4,4,12,acept,furnished,"5,400","10,200","1,584",130,"17,310"
308,1,40,1,1,0,-,acept,not furnished,0,980,59,15,"1,054"
309,1,40,2,1,0,3,acept,not furnished,348,"1,100",0,14,"1,462"
310,1,42,1,1,1,-,acept,furnished,450,"2,000",88,26,"2,564"
311,1,62,1,1,0,3,acept,not furnished,550,"2,100",0,27,"2,677"
312,1,106,2,3,2,18,not acept,furnished,950,"5,000",250,64,"6,264"
313,1,103,3,2,1,7,acept,not furnished,944,"4,400",126,56,"5,526"
314,1,360,3,5,3,13,acept,not furnished,"4,300","8,500","1,500",108,"14,410"
315,1,113,1,1,2,9,acept,furnished,650,"6,400",0,82,"7,132"
316,1,164,4,4,3,1,acept,not furnished,"1,840","6,000",550,77,"8,467"
317,1,110,3,2,3,-,acept,not furnished,0,"2,800",15,43,"2,858"
318,1,110,2,2,1,8,acept,furnished,"1,285","4,348",196,56,"5,885"
319,1,136,4,3,1,3,acept,not furnished,"1,800","4,200",312,54,"6,366"
320,0,65,1,1,1,9,acept,not furnished,380,"1,200",83,16,"1,679"
321,1,62,2,1,1,8,not acept,not furnished,735,"1,345",35,18,"2,133"
322,0,163,3,5,3,20,acept,not furnished,"1,450","9,800",350,125,"11,730"
323,1,47,2,1,1,12,acept,not furnished,597,"1,570",0,20,"2,187"
324,1,50,1,1,1,1,acept,not furnished,795,"3,500",213,45,"4,553"
325,1,79,3,2,2,6,acept,furnished,900,"3,000",209,39,"4,148"
326,1,250,3,3,2,7,not acept,furnished,"1,400","5,380",234,69,"7,083"
327,1,50,2,1,1,6,acept,not furnished,380,"1,210",0,16,"1,606"
328,1,150,3,3,2,-,acept,not furnished,0,"5,000",235,76,"5,311"
329,0,76,2,1,0,2,acept,not furnished,300,700,100,9,"1,109"
330,1,72,2,2,1,7,acept,not furnished,520,"1,800",159,23,"2,502"
331,1,35,1,1,1,17,acept,furnished,"1,280","4,000",200,51,"5,531"
332,1,250,3,4,4,16,acept,not furnished,"3,421","10,700","1,224",136,"15,480"
333,0,85,3,1,1,9,not acept,not furnished,598,"1,110",63,15,"1,786"
334,0,60,1,1,1,14,acept,not furnished,583,"1,100",49,14,"1,746"
335,0,47,2,1,1,-,acept,not furnished,255,"1,290",33,17,"1,595"
336,1,104,3,3,2,3,not acept,furnished,915,"9,000",254,115,"10,280"
337,0,203,3,1,2,-,acept,not furnished,0,"3,300",117,50,"3,467"
338,1,136,3,2,1,85,acept,not furnished,"1,513","3,500",260,45,"5,318"
339,1,53,1,1,1,3,acept,not furnished,694,"4,500",200,58,"5,452"
340,1,400,4,3,2,-,acept,not furnished,0,"15,000","1,870",226,"17,100"
341,1,40,1,1,1,14,acept,furnished,480,"4,200",75,54,"4,809"
342,1,38,1,1,0,6,acept,not furnished,0,"1,680",0,22,"1,702"
343,1,340,4,6,4,8,acept,furnished,"3,100","2,800","1,667",36,"7,603"
344,0,134,3,3,2,7,not acept,not furnished,"1,000","2,500",177,32,"3,709"
345,1,97,2,2,0,9,acept,furnished,453,"3,000",0,39,"3,492"
346,1,90,1,1,0,-,not acept,not furnished,Sem info,"1,150",59,18,"1,227"
347,1,260,4,5,2,1,acept,furnished,"2,600","8,000",417,102,"11,120"
